timestamp,workload_size_gb,ceph_osd_recovery_bytes,ceph_osd_recovery_ops,ceph_pg_backfilling,ceph_pg_recovering,ceph_pg_forced_recovery,ceph_osd_flag_nobackfill,ceph_pg_recovery_wait,ceph_pg_recovery_unfound,ceph_mds_cache_recovery_started,ceph_mds_cache_recovery_completed,ceph_num_objects_degraded,ceph_pg_degraded,recovery_time_sec,replication_rate_mbps,net_tx_mbps,net_rx_mbps,disk_write_MBps,disk_reads_completed,cpu_user_delta,cpu_system_delta,cpu_iowait_delta
21:56.3,7418.4548,6.78088E+12,2402307,1,0,0,0,0,0,0,0,379,1,2528.68337,1.93226254,58.55253366,61.92382565,5.242953471,12.17411418,0.351441409,0.101642368,0.005168256
22:13.8,7418.532303,6.78089E+12,2402314,1,0,0,0,0,0,0,0,372,1,2546.168469,5.765887399,34.49685747,52.70289542,4.495066324,11.20954477,0.51014867,0.130396745,0.004575324
22:31.2,7418.333153,6.78091E+12,2402322,1,0,0,0,0,0,0,0,364,1,2563.560475,9.544257057,35.90628706,56.10344477,47.84789624,12.64948966,0.402483762,0.115570337,0.01609935
22:48.7,7418.379669,6.78093E+12,2402337,1,0,0,0,0,0,0,0,350,1,2581.046126,8.180272156,34.16442888,45.55120493,3.995686949,9.379118913,0.345426087,0.101797754,0.004003282
23:06.1,7418.356438,6.78094E+12,2402344,1,0,0,0,0,0,0,0,342,1,2598.524238,3.840281605,35.84368609,43.91233424,4.10323477,9.840879839,0.36159512,0.104702384,0.005721442
23:23.7,7418.251514,6.78096E+12,2402352,1,0,0,0,0,0,0,0,335,1,2616.087417,9.552725278,34.15809222,42.47687779,3.557914046,11.7290839,0.535210625,0.128108926,0.003985611
23:41.2,7418.278214,6.78097E+12,2402359,1,0,0,0,0,0,0,0,327,1,2633.590313,5.761041144,48.31212161,57.90274478,5.227259963,11.42668048,0.355941097,0.09941212,0.00571334
23:58.6,7418.343487,6.78098E+12,2402366,1,0,0,0,0,0,0,0,320,1,2651.00846,1.994767871,35.88462309,46.24273156,3.963404158,12.97497374,0.349635354,0.098173474,0.005167025
24:16.4,7418.518089,6.78101E+12,2402381,1,0,0,0,0,0,0,0,305,1,2668.755682,13.27921722,36.06550118,47.76321703,4.275647162,8.790108108,0.389356712,0.095226171,0.005071216
24:33.8,7418.557667,6.78102E+12,2402389,1,0,0,0,0,0,0,0,297,1,2686.200459,6.76254354,44.70863319,50.32216531,4.756079714,10.31827463,0.492410995,0.13184462,0.006305612
24:51.6,7418.587826,6.78103E+12,2402396,1,0,0,0,0,0,0,0,290,1,2703.931707,3.785420631,39.62824004,50.96679083,25.43377975,9.813184047,0.380119888,0.111667267,0.008459641
25:09.1,7418.569595,6.78104E+12,2402404,1,0,0,0,0,0,0,0,282,1,2721.437465,5.789082198,42.46197805,56.36226023,5.021785189,9.711090488,0.381588732,0.107393236,0.004569925
25:26.5,7418.65617,6.78106E+12,2402411,1,0,0,0,0,0,0,0,275,1,2738.836457,5.785949439,70.34624627,65.24761388,5.303490606,9.195935029,0.45577353,0.109776474,0.004597968
25:44.0,7418.725582,6.78107E+12,2402418,1,0,0,0,0,0,0,0,268,1,2756.373566,7.65401002,57.82605833,71.5460725,5.993540612,7.8690279,0.37862569,0.100358617,0.003991536
